dataset_uri,title,modified,issued,publisher_uri,license,language,spatial,keyword,num_languages,num_keywords,domain,country,has_license,is_open_license,has_coordinates,description_length,description,has_temporal,temporal_start,temporal_end,is_machine_readable,format,publisher_name,has_keywords,is_multilingual,has_multilingual
http://data.europa.eu/88u/dataset/85e0b87d-eb5e-4468-af3f-b94a2ba9864c,Habitat and management data collation and collection on callows and floodplain grasslands,2026-03-17T13:34:50,2022-11-22,https://data.gov.ie/organization/department-of-housing-planning-community-and-local-government,,http://publications.europa.eu/resource/authority/language/ENG,nodeID://b5859024649,biodiversity | biota | environment | flora | grassland | grassland ecosystem | habitat | habitats directive | ireland | national parks and wildlife service | npws | plant | species distribution,1,13,floods,unknown,False,False,True,0,,True,,,False,,,True,False,False
http://data.europa.eu/88u/dataset/https-www-arcgis-com-home-item-html-id-428488998a7b4bc0a47bdde09fda5e28,PluvFlood climate2100 T100,2023-10-09T09:51:15Z,2019-06-14T00:00:00,https://org.belgif.be/id/CbeRegisteredEntity/0207500123,,http://publications.europa.eu/resource/authority/language/NLD,https://sws.geonames.org/2803139/,klimaat | milieu | overstroming | pluviaal | stadsontwikkeling | waterplan | weer,1,7,floods,unknown,False,False,True,0,,True,,,False,,,True,False,False
http://data.europa.eu/88u/dataset/5c6bc67e-65f8-4ec3-8731-4a1b06d186cf,Flood hazard map Floodable area - FLUVIAL - future climate (with climate projection 2050),2021-08-31,2019-12-22,https://org.belgif.be/id/CbeRegisteredEntity/0887290276,,http://publications.europa.eu/resource/authority/language/NLD,https://sws.geonames.org/3337388/,Flooded areas (Floods Directive) | Floods Directive | Gebieden met natuurrisico's | Water Information System for Europe (WISE),1,4,floods,unknown,False,False,True,0,,True,,,False,,,True,False,False
http://data.europa.eu/88u/dataset/8f7345bc-ddf1-4c11-8aab-8b0928538d9d~~8,Flood risk map Polluting installations - FLUVIAL - future climate (with climate projection 2050) - high probability,2021-08-31,2019-12-22,https://org.belgif.be/id/CbeRegisteredEntity/0887290276,,http://publications.europa.eu/resource/authority/language/NLD,https://sws.geonames.org/3337388/,Flood risk zones high probability scenario (Floods Directive) | Floods Directive | Gebieden met natuurrisico's | Water Information System for Europe (WISE),1,4,floods,unknown,False,False,True,0,,True,,,False,,,True,False,False
http://data.europa.eu/88u/dataset/1fe1137a-6258-411a-ac1c-bfbaaba0907b,Flood risk map Type of economic activity - FLUCIAL - current climate - high probability,2021-08-31,2019-12-22,https://org.belgif.be/id/CbeRegisteredEntity/0887290276,,http://publications.europa.eu/resource/authority/language/NLD,https://sws.geonames.org/3337388/,Flood risk zones high probability scenario (Floods Directive) | Floods Directive | Gebieden met natuurrisico's | Water Information System for Europe (WISE),1,4,floods,unknown,False,False,True,0,,True,,,False,,,True,False,False
http://data.europa.eu/88u/dataset/f51c7e45-04ce-44b6-9166-e1074216952b,Flood maps 2019 — Coastal floods,2023-02-03T06:38:51.497896,2019-12-22T00:00:00,https://opendata.schleswig-holstein.de/organization/melund,,http://publications.europa.eu/resource/authority/language/DEU,http://dcat-ap.de/def/politicalGeocoding/stateKey/01,gefahrenkarten | hochwasser | küstenhochwasser | risikokarten,1,4,floods,unknown,False,False,True,0,,True,,,False,,,True,False,False
http://data.europa.eu/88u/dataset/faabb93f-d8cd-4fc7-bba8-48e400c6ea58,Hazard map/Intensity map/Flood risk map - water axis,2020-09-09,2006-01-01,urn:uuid:ef916bfc-5d97-a8bb-a117-b10e5da45c6b,,http://publications.europa.eu/resource/authority/language/DEU,nodeID://b5859611586,fließgewässer | fließgewässernetz | gefahrenkarte | gewässerachse | hochwasser | hochwasserrisikokarte | hochwasserschutz | hochwasserschutzkonzepte | intensitätskarte | regional,1,10,floods,unknown,False,False,True,0,,True,,,False,,,True,False,False
http://data.europa.eu/88u/dataset/fb699a7e-0239-4415-b19d-78ce629af9c3,"Inspire Download Service (predefined ATOM) for data set Flood zones of Saarland, fixed",2025-11-06,2016-04-04,nodeID://b5330639511,,,nodeID://b5330639517,Gewässernetz | Hochwasser | Hochwasserschutz | Schutzgebiete | infoFeatureAccessService | opendata | wasser | Überschwemmung,0,8,floods,unknown,False,False,True,0,,True,,,False,,,True,False,False
http://data.europa.eu/88u/dataset/b26929b5-d9ce-67b4-2b82-4802fbfc3a28,Inspire Download Service (predefined ATOM) for record Flood_with_lower_probability,2025-07-24,2015-12-09,nodeID://b5807023688,,,nodeID://b5807023680,Extremereignis | Gebiete mit naturbedingten Risiken | HLNUG | HQextrem | HWRMP | Hessen | Hochwasserrisikomanagementpläne | Hydrologie | Hydrology | Natural risk zones | Wasser | infoFeatureAccessService | inspireidentifiziert | naturbedingte Risiken | regional | Überflutungsflächen,0,16,floods,unknown,False,False,True,0,,True,,,False,,,True,False,False
http://data.europa.eu/88u/dataset/fad8d1cd-04e8-40c4-9c74-c333cade2b78-6571-agis_service_center,Flood event register 2009 (flooded areas),2010-07-12T00:00:00,2010-07-12T00:00:00,http://www.ag.ch/alg,,http://publications.europa.eu/resource/authority/language/DEU,,,1,0,floods,unknown,False,False,False,0,,True,,,False,,,False,False,False
http://data.europa.eu/88u/dataset/floodrisk,FloodRisk,2016-09-28T09:20:21.000Z,2015-12-01T14:10:42.000Z,nodeID://b3216565048,,,,maps | open data | planning,0,3,floods,unknown,False,False,False,0,,True,,,False,,,True,False,False
http://data.europa.eu/88u/dataset/56016347c751df255c8dabf1,[DREAL LR] Atlas of flood zones in Languedoc-Roussillon,2016-02-10T23:34:37.079,2015-09-22T16:18:47.612,https://www.data.gouv.fr/organizations/558bef88c751df1fd9a453b9,,,,donnees-ouvertes | risque-inondation,0,2,floods,unknown,False,False,False,0,,True,,,False,,,True,False,False
http://data.europa.eu/88u/dataset/5b35e80c88ee38071da6f6fa,REGULATORY AREA OF THE FLOOD PREVENTION PLAN FOR BARLEY AND SALLEMOUILLE,2018-06-29T10:06:34.363,2018-06-29T10:04:28.669,https://www.data.gouv.fr/organizations/5a33e206c751df5d09b4bf75,,,,,0,0,floods,unknown,False,False,False,0,,True,,,False,,,False,False,False
http://data.europa.eu/88u/dataset/d2806093-ddfe-4656-ae1a-d4385d5f3e4a,Flood in Mozambique (2023-05-15),,2023-05-15,http://publications.europa.eu/resource/authority/corporate-body/JRC,,http://publications.europa.eu/resource/authority/language/ENG,nodeID://b5844485048,CEMS | Copernicus | Copernicus EMS | Copernicus Emergency Management Service | Copernicus Emergency Management Service Rapid Mapping Activation | Copernicus Service | EMSR663 | Emergency | Emergency Management | Flood | MOZ | Mapping | Mozambique | Rapid Mapping,1,14,floods,eu,False,False,True,0,,True,,,False,,,True,False,False
http://data.europa.eu/88u/dataset/e3c92cd0-27af-48ca-897d-87247b15adca,Flood risk map Cultural damage map - PLUVIAL - future climate (with climate projection 2050) - high probability,,2019-12-22,https://org.belgif.be/id/CbeRegisteredEntity/0887290276,,http://publications.europa.eu/resource/authority/language/NLD,https://sws.geonames.org/3337388/,Flood risk zones high probability scenario (Floods Directive) | Floods Directive | Gebieden met natuurrisico's | Water Information System for Europe (WISE),1,4,floods,unknown,False,False,True,0,,True,,,False,,,True,False,False
http://data.europa.eu/88u/dataset/4ba82102-13c0-4136-87ab-596243f06322,"New-Aquitaine: Arcachon Basin Sorting (marine submersion) — Issues related to WFD protected areas, Flood Directive",2017-09-01,2017-09-04,,,http://publications.europa.eu/resource/authority/language/FRE,nodeID://b1900781360,arcachon | directive inondation | données ouvertes | submersion | tri,1,5,floods,unknown,False,False,True,0,,True,,,False,,,True,False,False
http://data.europa.eu/88u/dataset/c14cf922-068e-4611-bb20-44a6b77e8d1e,"New-Aquitaine: Sorting of Agen — Water Height Zones, Flood Directive",2016-12-15,2016-12-15,,,http://publications.europa.eu/resource/authority/language/FRE,nodeID://b1124531704,agen | directive inondation | données ouvertes | nouvelle-aquitaine | tri,1,5,floods,unknown,False,False,True,0,,True,,,False,,,True,False,False
http://data.europa.eu/88u/dataset/edac240f-1dbd-4698-921d-5ce6522a0d1e,Flood Hazard Map — Sheet sections of flood hazard maps and reports,,2022-03-24,,,http://publications.europa.eu/resource/authority/language/DEU,nodeID://b5798094360,Blattschnitte | Fließgewässer | Gefahrenkarte | Gefährdung | Gewässer | HWRM | Hochwasser | Hochwassergefahrenkarte | Intensität | Interaktive Karte | Karte | Wasser | Wasserstand | Überflutungsfläche | Überschwemmung,1,15,floods,unknown,False,False,True,0,,True,,,False,,,True,False,False
http://data.europa.eu/88u/dataset/6b32f265-13f6-42a1-8b56-124872364779,Flooding areas in the district of Schaumburg,,2015-03-20,,,http://publications.europa.eu/resource/authority/language/DEU,nodeID://b5815665725,inspireidentifiziert | ÜSG | Überschwemmungsgebiete,1,3,floods,unknown,False,False,True,0,,True,,,False,,,True,False,False
http://data.europa.eu/88u/dataset/19532b82-1666-4150-ba75-2038b59552ca,"New-Aquitaine: Bordeaux Sorting (overflow hazard) — Issues related to WFD protected areas, Flood Directive",,2014-09-29,,,http://publications.europa.eu/resource/authority/language/FRE,nodeID://b685430046,bordeaux | directive inondation | données ouvertes | tri,1,4,floods,unknown,False,False,True,0,,True,,,False,,,True,False,False
http://data.europa.eu/88u/dataset/a6f2ef96-a517-4478-9d14-5dad97b6cb09,"New-Aquitaine: Tonneins-Marmande Sorting — Speed Class Areas, Flood Directive",,2014-09-29,,,http://publications.europa.eu/resource/authority/language/FRE,nodeID://b685432046,directive inondation | données ouvertes | marmande | tonneins | tri,1,5,floods,unknown,False,False,True,0,,True,,,False,,,True,False,False
http://data.europa.eu/88u/dataset/ispra_rm-meta_ppriskfran01_sv,Population at risk of flooding – View Service,,2015-02-13,,,,nodeID://b5835405459,Rischio idraulico | Risk zone | eu | open data | popolazione,0,5,floods,unknown,False,False,True,0,,True,,,False,,,True,False,False
http://data.europa.eu/88u/dataset/181a8d38-c584-48f8-8d02-1e349ff99ff1,INSPIRE download service of of Flood Maps and Flood Risk Maps (MZP/MRP) data for Natural Hazard Zones INSPIRE theme,,2019-02-12,,,,nodeID://b5813141052,Download Service | Element narażony | Inspire | Powódź | Ryzyko powodziowe | Strefy ryzyka | Strefy zagrożenia naturalnego | Usługa pobierania | WFS | Web Feature Service | Zagrożenie powodziowe,0,11,floods,unknown,False,False,True,0,,True,,,False,,,True,False,False
http://data.europa.eu/88u/dataset/spamiteco_peligrosidad_inundacion_fluvial,Dangerousness due to river flooding,2016-12-20,,nodeID://b3189211538,,http://publications.europa.eu/resource/authority/language/SPA,nodeID://b3189211534,"10 años | 100 años | 500 años | España | Inundación fluvial, niveles y calados de inundación | Natural risk zones | Peligrosidad | Periodo de retorno | Probabilidad alta | Probabilidad baja | T10 | T100 | T500 | ZI | Zonas de riesgos naturales",1,15,floods,unknown,False,False,True,0,,False,,,False,,,True,False,False
http://data.europa.eu/88u/dataset/e221af21-96e7-4782-bccb-d6bbe1d75ca3,INSPIRE - Flood hazard 2019,2025-12-09T17:24:07Z,,https://org.belgif.be/id/CbeRegisteredEntity/0236916956,,http://publications.europa.eu/resource/authority/language/ENG,https://sws.geonames.org/2800867/,environment,1,1,floods,unknown,False,False,True,0,,False,,,False,,,True,False,False
