dataset_id,title,description,description_length,domain,country,publisher,publisher_type,format,temporal_start,temporal_end,temporal_span_years,last_modified,update_frequency,spatial_precision,has_coordinates,license,is_open_license,num_keywords,keywords,has_eurovoc,num_languages,has_multilingual,early_warning_score,early_warning_readiness,early_warning_temporal_recency,early_warning_update_frequency,early_warning_spatial_precision,early_warning_format_readability,early_warning_license_openness,early_warning_description_quality,early_warning_vocabulary_standard,compliance_reporting_score,compliance_reporting_readiness,compliance_reporting_temporal_coverage,compliance_reporting_description_quality,compliance_reporting_spatial_aggregation,compliance_reporting_vocabulary_standard,compliance_reporting_format_readability,compliance_reporting_license_openness,compliance_reporting_temporal_recency,cross_border_score,cross_border_readiness,cross_border_vocabulary_standard,cross_border_multilingual,cross_border_spatial_coverage,cross_border_format_readability,cross_border_description_quality,cross_border_license_openness,cross_border_temporal_recency,impact_score,impact_publisher_type,impact_operational_keywords,impact_format_accessibility,impact_temporal_extent,impact_spatial_scope,early_warning_priority,compliance_reporting_priority,cross_border_priority,task,priority_rank
eu-water-67c3a0c43b5f,Pesticide Monitoring - AT,Spatial dataset representing water conditions based on field surveys and modeling. Data quality has been validated according to standard procedures.,20,agricultural_runoff,AT,AT Environmental Agency,national_hydro,,2020-01-01,2025-12-31,5,2022-06-05,irregular,,False,restricted,False,0,,False,1,False,0.115,Insufficient,0.1,0.2,0.0,0.0,0.3,0.4,0.0,0.265,Insufficient,0.6,0.4,0.0,0.0,0.0,0.3,0.1,0.2,Insufficient,0.0,0.3,0.4,0.0,0.4,0.3,0.1,0.76,1.0,1.0,0.3,0.6,0.6,0.6726,0.5586,0.6080000000000001,early_warning,1
eu-water-49a83d23d972,Agricultural Pollution - ES,Spatial dataset representing water conditions based on field surveys and modeling. Updated regularly as part of ongoing monitoring programs.,19,agricultural_runoff,ES,ES Environmental Agency,national_hydro,Shapefile,2010-01-01,2020-12-31,10,2022-02-17,irregular,,False,,False,0,,True,4,True,0.2375,Insufficient,0.1,0.2,0.0,0.75,0.0,0.2,1.0,0.5200000000000001,Partial,1.0,0.2,0.0,1.0,0.75,0.0,0.1,0.7274999999999999,Ready,1.0,1.0,0.7,0.75,0.2,0.0,0.1,0.88,1.0,1.0,0.75,0.8,0.6,0.6709999999999999,0.4223999999999999,0.23980000000000007,early_warning,2
eu-water-20808fadab67,Surface Water Chemistry - PL,This dataset contains drinking water data collected from monitoring stations across the region.,13,water_quality,PL,PL Environmental Agency,national_hydro,Shapefile,2021-01-01,2022-12-31,1,2024-05-18,irregular,,False,,False,0,,False,1,False,0.1875,Insufficient,0.1,0.2,0.0,0.75,0.0,0.2,0.0,0.195,Insufficient,0.3,0.2,0.0,0.0,0.75,0.0,0.1,0.2775,Insufficient,0.0,0.3,0.4,0.75,0.2,0.0,0.1,0.8200000000000001,1.0,1.0,0.75,0.4,0.6,0.66625,0.6601,0.59245,early_warning,3
eu-water-48d3f5343920,Flood Risk Assessment - DE,This dataset contains coastal flood data collected from monitoring stations across the region. Covers all relevant water bodies within the jurisdiction.,21,floods,DE,DE Environmental Agency,national_hydro,,2023-01-01,2025-12-31,2,2024-03-28,annual,,False,,False,0,,False,1,False,0.105,Insufficient,0.1,0.3,0.0,0.0,0.0,0.4,0.0,0.16,Insufficient,0.3,0.4,0.0,0.0,0.0,0.0,0.1,0.185,Insufficient,0.0,0.3,0.4,0.0,0.4,0.0,0.1,0.73,1.0,1.0,0.3,0.4,0.6,0.65335,0.6132,0.59495,early_warning,4
eu-water-4bb29cd078b2,Groundwater Level Measurements - DE,This dataset contains groundwater data collected from monitoring stations across the region.,12,groundwater,DE,DE Environmental Agency,national_hydro,NetCDF,2015-01-01,2021-12-31,6,2022-10-27,irregular,,False,,False,5,quantitative status|groundwater|aquifer|hydrogeology|groundwater level,True,1,False,0.2525,Insufficient,0.1,0.2,0.0,0.85,0.0,0.2,1.0,0.53,Partial,1.0,0.2,0.0,1.0,0.85,0.0,0.1,0.5425000000000001,Partial,1.0,0.3,0.4,0.85,0.2,0.0,0.1,0.87,1.0,1.0,0.85,0.6,0.6,0.650325,0.4089,0.3980249999999999,early_warning,5
eu-water-37e06eb5fa20,Groundwater Level Measurements - PL,Aggregated statistics on quantitative status derived from national reporting systems. Updated regularly as part of ongoing monitoring programs.,18,groundwater,PL,Eurostat,eu_agency,API,2005-01-01,2020-12-31,15,2024-01-27,unknown,,False,CC-BY-4.0,True,0,,False,4,True,0.285,Insufficient,0.1,0.0,0.0,1.0,1.0,0.2,0.0,0.495,Partial,1.0,0.2,0.0,0.0,1.0,1.0,0.1,0.5650000000000001,Partial,0.0,1.0,0.7,1.0,0.2,1.0,0.1,0.9,0.9,1.0,1.0,0.8,0.6,0.6435000000000001,0.4545,0.39149999999999996,early_warning,6
eu-water-868130d1fb0c,Drinking Water Quality - BG,This dataset contains sewage data collected from monitoring stations across the region.,12,utilities,BG,BG Environmental Agency,national_hydro,CSV,2017-01-01,2020-12-31,3,2022-03-08,annual,,False,,False,5,UWWTD|water treatment|wastewater|drinking water|sewage,False,1,False,0.255,Insufficient,0.1,0.3,0.0,0.9,0.0,0.2,0.5,0.36,Insufficient,0.6,0.2,0.0,0.5,0.9,0.0,0.1,0.425,Partial,0.5,0.3,0.4,0.9,0.2,0.0,0.1,0.85,1.0,1.0,0.9,0.4,0.6,0.63325,0.544,0.48874999999999996,early_warning,7
eu-water-29a5bb6d97b8,Water Quality Monitoring Data - AT,This dataset contains surface water data collected from monitoring stations across the region.,13,water_quality,AT,AT Hydrological Service,national_hydro,,,,0,2023-05-04,unknown,,False,CC0,True,0,,False,1,False,0.135,Insufficient,0.1,0.0,0.0,0.0,1.0,0.2,0.0,0.145,Insufficient,0.0,0.2,0.0,0.0,0.0,1.0,0.1,0.215,Insufficient,0.0,0.3,0.4,0.0,0.2,1.0,0.1,0.73,1.0,1.0,0.3,0.4,0.6,0.63145,0.62415,0.5730500000000001,early_warning,8
eu-water-cc9ead64c48f,Water Quality Monitoring Data - DE,This dataset contains bathing water data collected from monitoring stations across the region.,13,water_quality,DE,Eurostat,eu_agency,Shapefile,2008-01-01,2023-12-31,15,2023-08-30,unknown,country_level,False,,False,0,,True,3,True,0.2575,Insufficient,0.1,0.0,0.3,0.75,0.0,0.2,1.0,0.5950000000000001,Partial,1.0,0.2,0.5,1.0,0.75,0.0,0.1,0.7274999999999999,Ready,1.0,1.0,0.7,0.75,0.2,0.0,0.1,0.8500000000000001,0.9,1.0,0.75,0.8,0.6,0.631125,0.34424999999999994,0.23162500000000008,early_warning,9
eu-water-2d9e203ff813,Pesticide Monitoring - PL,Spatial dataset representing water conditions based on field surveys and modeling. Covers all relevant water bodies within the jurisdiction.,19,agricultural_runoff,PL,PL Ministry of Agriculture,ministry,CSV,2005-01-01,2025-12-31,20,2024-02-15,irregular,,False,,False,2,,True,4,True,0.26,Insufficient,0.1,0.2,0.0,0.9,0.0,0.2,1.0,0.535,Partial,1.0,0.2,0.0,1.0,0.9,0.0,0.1,0.75,Ready,1.0,1.0,0.7,0.9,0.2,0.0,0.1,0.85,0.7,1.0,0.9,1.0,0.6,0.629,0.39525,0.2125,early_warning,10
