dataset_id,title,description,description_length,domain,country,publisher,publisher_type,format,temporal_start,temporal_end,temporal_span_years,last_modified,update_frequency,spatial_precision,has_coordinates,license,is_open_license,num_keywords,keywords,has_eurovoc,num_languages,has_multilingual,early_warning_score,early_warning_readiness,early_warning_temporal_recency,early_warning_update_frequency,early_warning_spatial_precision,early_warning_format_readability,early_warning_license_openness,early_warning_description_quality,early_warning_vocabulary_standard,compliance_reporting_score,compliance_reporting_readiness,compliance_reporting_temporal_coverage,compliance_reporting_description_quality,compliance_reporting_spatial_aggregation,compliance_reporting_vocabulary_standard,compliance_reporting_format_readability,compliance_reporting_license_openness,compliance_reporting_temporal_recency,cross_border_score,cross_border_readiness,cross_border_vocabulary_standard,cross_border_multilingual,cross_border_spatial_coverage,cross_border_format_readability,cross_border_description_quality,cross_border_license_openness,cross_border_temporal_recency
eu-water-6178ae403437,Aquifer Characteristics - SE,Aggregated statistics on hydrogeology derived from national reporting systems.,9,groundwater,SE,SE Water Agency,national_hydro,Shapefile,2010-01-01,2020-12-31,10,2026-01-09,unknown,coordinates,True,restricted,False,0,,True,3,True,0.5275000000000001,Partial,0.5,0.0,1.0,0.75,0.3,0.2,1.0,0.6900000000000001,Partial,1.0,0.2,0.8,1.0,0.75,0.3,0.5,0.7625,Ready,1.0,1.0,0.7,0.75,0.2,0.3,0.5
eu-water-c7056aa62759,Biological Quality Elements - ES,Aggregated statistics on surface water derived from national reporting systems. Includes both raw measurements and derived indicators.,17,water_quality,ES,ES Ministry of Environment,ministry,NetCDF,2012-01-01,2022-12-31,10,2024-12-02,monthly,,False,,False,0,,False,1,False,0.2825,Insufficient,0.1,0.6,0.0,0.85,0.0,0.2,0.0,0.38000000000000006,Insufficient,1.0,0.2,0.0,0.0,0.85,0.0,0.1,0.29250000000000004,Insufficient,0.0,0.3,0.4,0.85,0.2,0.0,0.1
eu-water-49df64e75ca0,Water Quality Monitoring Data - NL,Spatial dataset representing chemical status conditions based on field surveys and modeling. Updated regularly as part of ongoing monitoring programs.,20,water_quality,NL,NL Hydrological Service,national_hydro,PDF,2010-01-01,2020-12-31,10,2025-11-07,daily,bbox,True,CC-BY-4.0,True,0,,False,1,False,0.625,Partial,0.3,1.0,1.0,0.2,1.0,0.4,0.0,0.5850000000000001,Partial,1.0,0.4,0.8,0.0,0.2,1.0,0.3,0.275,Insufficient,0.0,0.3,0.4,0.2,0.4,1.0,0.3
eu-water-22b95ce6d9aa,Biological Quality Elements - EL,Spatial dataset representing bathing water conditions based on field surveys and modeling.,12,water_quality,EL,EL Hydrological Service,national_hydro,API,2006-01-01,2021-12-31,15,2024-07-21,daily,,False,,False,3,surface water|bathing water|water quality,True,1,False,0.435,Partial,0.1,1.0,0.0,1.0,0.0,0.2,1.0,0.545,Partial,1.0,0.2,0.0,1.0,1.0,0.0,0.1,0.5650000000000001,Partial,1.0,0.3,0.4,1.0,0.2,0.0,0.1
eu-water-2357e27a4e75,Biological Quality Elements - DK,,0,water_quality,DK,DK Regional Water Authority,regional,,2020-01-01,2021-12-31,1,2025-11-27,annual,coordinates,True,CC-BY-SA-4.0,True,0,,False,1,False,0.485,Partial,0.5,0.3,1.0,0.0,1.0,0.0,0.0,0.32000000000000006,Insufficient,0.3,0.0,0.8,0.0,0.0,1.0,0.5,0.215,Insufficient,0.0,0.3,0.4,0.0,0.0,1.0,0.5
eu-water-000dc21df9a9,Historical Flood Events - FI,Spatial dataset representing river flood conditions based on field surveys and modeling. Includes both raw measurements and derived indicators.,19,floods,FI,FI Regional Water Authority,regional,PDF,2015-01-01,2025-12-31,10,2026-01-20,annual,country_level,False,CC-BY-4.0,True,0,,False,1,False,0.45999999999999996,Partial,0.8,0.3,0.3,0.2,1.0,0.2,0.0,0.5250000000000001,Partial,1.0,0.2,0.5,0.0,0.2,1.0,0.8,0.28,Insufficient,0.0,0.3,0.4,0.2,0.2,1.0,0.8
eu-water-5167ef6f0037,Historical Flood Events - FR,Comprehensive flood risk information compiled under EU reporting requirements.,9,floods,FR,FR Ministry of Environment,ministry,,2021-01-01,2024-12-31,3,2023-08-09,annual,bbox,True,CC-BY-4.0,True,0,,False,1,False,0.395,Insufficient,0.1,0.3,1.0,0.0,1.0,0.2,0.0,0.41500000000000004,Partial,0.6,0.2,0.8,0.0,0.0,1.0,0.1,0.21500000000000002,Insufficient,0.0,0.3,0.4,0.0,0.2,1.0,0.1
eu-water-244b6de35c1b,Drinking Water Quality - DE,,0,utilities,DE,DE Ministry of Agriculture,ministry,,2020-01-01,2022-12-31,2,2025-08-05,monthly,coordinates,True,CC-BY-4.0,True,0,,False,1,False,0.495,Partial,0.3,0.6,1.0,0.0,1.0,0.0,0.0,0.31000000000000005,Insufficient,0.3,0.0,0.8,0.0,0.0,1.0,0.3,0.20500000000000002,Insufficient,0.0,0.3,0.4,0.0,0.0,1.0,0.3
eu-water-daac361e33ed,Water Quality Monitoring Data - DK,,0,water_quality,DK,DK Regional Water Authority,regional,NetCDF,2012-01-01,2022-12-31,10,2023-12-31,annual,region_name,False,,False,0,,False,1,False,0.3125,Insufficient,0.1,0.3,0.5,0.85,0.0,0.0,0.0,0.49000000000000005,Partial,1.0,0.0,1.0,0.0,0.85,0.0,0.1,0.2725,Insufficient,0.0,0.3,0.4,0.85,0.0,0.0,0.1
eu-water-f4499207debd,Historical Flood Events - EE,Comprehensive return period information compiled under EU reporting requirements. Harmonized with EU-level reporting standards.,14,floods,EE,Copernicus,eu_agency,JSON,2019-01-01,2020-12-31,1,2025-12-20,monthly,country_level,False,restricted,False,5,flood hazard|flood|coastal flood|flash flood|inundation,False,5,True,0.505,Partial,0.5,0.6,0.3,0.9,0.3,0.2,0.5,0.41000000000000003,Partial,0.3,0.2,0.5,0.5,0.9,0.3,0.5,0.66,Partial,0.5,1.0,0.7,0.9,0.2,0.3,0.5
eu-water-7fb726b83df2,Flood Hazard Maps - ES,Spatial dataset representing inundation conditions based on field surveys and modeling. Data quality has been validated according to standard procedures.,20,floods,ES,ES Regional Water Authority,regional,CSV,,,0,2025-10-31,monthly,,False,CC0,True,0,,False,2,True,0.45000000000000007,Partial,0.3,0.6,0.0,0.9,1.0,0.4,0.0,0.28500000000000003,Insufficient,0.0,0.4,0.0,0.0,0.9,1.0,0.3,0.5800000000000001,Partial,0.0,1.0,0.7,0.9,0.4,1.0,0.3
eu-water-965360189307,WFD Status Assessment - NL,,0,wfd_metrics,NL,NL Ministry of Environment,ministry,PDF,2019-01-01,2025-12-31,6,2025-12-05,annual,bbox,True,custom_open,True,0,,False,4,True,0.515,Partial,0.5,0.3,1.0,0.2,1.0,0.0,0.0,0.515,Partial,1.0,0.0,0.8,0.0,0.2,1.0,0.5,0.445,Partial,0.0,1.0,0.7,0.2,0.0,1.0,0.5
eu-water-e3ac294b928e,Aquifer Characteristics - PL,Comprehensive quantitative status information compiled under EU reporting requirements. Updated regularly as part of ongoing monitoring programs.,17,groundwater,PL,Eurostat,eu_agency,Shapefile,2020-01-01,2022-12-31,2,2025-01-01,irregular,,False,EU-ODP,True,0,,True,5,True,0.33749999999999997,Insufficient,0.1,0.2,0.0,0.75,1.0,0.2,1.0,0.44500000000000006,Partial,0.3,0.2,0.0,1.0,0.75,1.0,0.1,0.7775,Ready,1.0,1.0,0.7,0.75,0.2,1.0,0.1
eu-water-8bb77ecf6285,Programme of Measures - BE,,0,wfd_metrics,BE,BE Regional Water Authority,regional,PDF,,,0,2024-09-22,annual,coordinates,True,custom_open,True,0,,False,3,True,0.41500000000000004,Partial,0.1,0.3,1.0,0.2,1.0,0.0,0.0,0.24500000000000002,Insufficient,0.0,0.0,0.8,0.0,0.2,1.0,0.1,0.425,Partial,0.0,1.0,0.7,0.2,0.0,1.0,0.1
eu-water-b521bb233b9c,Remote Sensing Water Data - FR,,0,cross_cutting,FR,FR River Basin District,regional,PDF,2020-01-01,2025-12-31,5,2025-11-29,unknown,bbox,True,restricted,False,0,,False,1,False,0.385,Insufficient,0.5,0.0,1.0,0.2,0.3,0.0,0.0,0.3450000000000001,Insufficient,0.6,0.0,0.8,0.0,0.2,0.3,0.5,0.21,Insufficient,0.0,0.3,0.4,0.2,0.0,0.3,0.5
eu-water-ebe76dc920bf,Historical Flood Events - IT,Spatial dataset representing inundation conditions based on field surveys and modeling.,11,floods,IT,IT River Basin District,regional,PDF,,,0,2025-12-25,annual,,False,EU-ODP,True,0,,False,5,True,0.325,Insufficient,0.5,0.3,0.0,0.2,1.0,0.2,0.0,0.18500000000000003,Insufficient,0.0,0.2,0.0,0.0,0.2,1.0,0.5,0.465,Partial,0.0,1.0,0.7,0.2,0.2,1.0,0.5
eu-water-d533502a4432,Biological Quality Elements - BG,,0,water_quality,BG,BG Regional Water Authority,regional,NetCDF,,,0,2026-01-18,irregular,,False,,False,5,chemical status|drinking water|surface water|biological quality|water quality,False,1,False,0.39250000000000007,Insufficient,0.8,0.2,0.0,0.85,0.0,0.0,0.5,0.2,Insufficient,0.0,0.0,0.0,0.5,0.85,0.0,0.8,0.4325,Partial,0.5,0.3,0.4,0.85,0.0,0.0,0.8
eu-water-24952d35418d,Surface Water Chemistry - IE,Time series data for bathing water parameters measured at multiple locations.,11,water_quality,IE,Eurostat,eu_agency,PDF,2008-01-01,2023-12-31,15,2024-07-10,annual,coordinates,True,custom_open,True,2,surface water|biological quality,True,1,False,0.47500000000000003,Partial,0.1,0.3,1.0,0.2,1.0,0.2,1.0,0.685,Partial,1.0,0.2,0.8,1.0,0.2,1.0,0.1,0.49500000000000005,Partial,1.0,0.3,0.4,0.2,0.2,1.0,0.1
eu-water-6e6e291ba0d0,Water Supply Statistics - DE,Time series data for water utility parameters measured at multiple locations.,11,utilities,DE,DE Hydrological Service,national_hydro,NetCDF,2005-01-01,2020-12-31,15,2026-01-16,monthly,bbox,True,custom_open,True,0,,False,1,False,0.7575,Ready,0.8,0.6,1.0,0.85,1.0,0.2,0.0,0.6350000000000001,Partial,1.0,0.2,0.8,0.0,0.85,1.0,0.8,0.37750000000000006,Insufficient,0.0,0.3,0.4,0.85,0.2,1.0,0.8
eu-water-de6d94062e7a,Aquifer Characteristics - PL,,0,groundwater,PL,University of PL,research,NetCDF,2019-01-01,2021-12-31,2,2025-12-16,monthly,,False,custom_open,True,0,,False,1,False,0.47250000000000003,Partial,0.5,0.6,0.0,0.85,1.0,0.0,0.0,0.28500000000000003,Insufficient,0.3,0.0,0.0,0.0,0.85,1.0,0.5,0.3425,Insufficient,0.0,0.3,0.4,0.85,0.0,1.0,0.5
eu-water-e6d384cfd092,Water Quality Monitoring Data - ES,Aggregated statistics on water quality derived from national reporting systems. Includes both raw measurements and derived indicators.,17,water_quality,ES,European Environment Agency,eu_agency,XML,2021-01-01,2022-12-31,1,2025-12-13,annual,coordinates,True,CC-BY-SA-4.0,True,2,biological quality|water quality,False,5,True,0.615,Partial,0.5,0.3,1.0,0.7,1.0,0.2,0.3,0.475,Partial,0.3,0.2,0.8,0.3,0.7,1.0,0.5,0.6150000000000001,Partial,0.3,1.0,0.7,0.7,0.2,1.0,0.5
eu-water-e7e43d90699a,Flood Hazard Maps - IT,This dataset contains flood hazard data collected from monitoring stations across the region.,13,floods,IT,IT Ministry of Environment,ministry,CSV,2014-01-01,2024-12-31,10,2026-02-12,irregular,coordinates,True,,False,5,return period|flood risk|flood hazard|flash flood|river flood,False,1,False,0.66,Partial,1.0,0.2,1.0,0.9,0.0,0.2,0.5,0.6250000000000001,Partial,1.0,0.2,0.8,0.5,0.9,0.0,1.0,0.47000000000000003,Partial,0.5,0.3,0.4,0.9,0.2,0.0,1.0
eu-water-bff7692ca391,Surface Water Chemistry - DE,,0,water_quality,DE,DE Regional Water Authority,regional,,,,0,2024-08-27,irregular,,False,,False,5,biological quality|water quality|drinking water|bathing water|surface water,False,2,True,0.09,Insufficient,0.1,0.2,0.0,0.0,0.0,0.0,0.5,0.08,Insufficient,0.0,0.0,0.0,0.5,0.0,0.0,0.1,0.47,Partial,0.5,1.0,0.7,0.0,0.0,0.0,0.1
eu-water-23fb65cf1f35,Historical Flood Events - PL,Aggregated statistics on coastal flood derived from national reporting systems. Includes both raw measurements and derived indicators.,17,floods,PL,PL Hydrological Service,national_hydro,Shapefile,2022-01-01,2025-12-31,3,2025-11-17,annual,country_level,False,restricted,False,0,,False,4,True,0.39749999999999996,Insufficient,0.5,0.3,0.3,0.75,0.3,0.2,0.0,0.395,Insufficient,0.6,0.2,0.5,0.0,0.75,0.3,0.5,0.5125,Partial,0.0,1.0,0.7,0.75,0.2,0.3,0.5
eu-water-d86f23cf7ee4,Flood Risk Assessment - AT,Time series data for coastal flood parameters measured at multiple locations.,11,floods,AT,Eurostat,eu_agency,PDF,2002-01-01,2022-12-31,20,2025-12-19,annual,region_name,False,custom_open,True,5,river flood|return period|flood hazard|coastal flood|flash flood,True,3,True,0.47500000000000003,Partial,0.5,0.3,0.5,0.2,1.0,0.2,1.0,0.7350000000000001,Ready,1.0,0.2,1.0,1.0,0.2,1.0,0.5,0.7150000000000001,Ready,1.0,1.0,0.7,0.2,0.2,1.0,0.5
eu-water-7b3f666e87a3,Nitrate Concentrations - CZ,Aggregated statistics on monitoring derived from national reporting systems.,9,agricultural_runoff,CZ,Eurostat,eu_agency,API,2015-01-01,2025-12-31,10,2023-11-17,weekly,region_name,False,EU-ODP,True,4,,True,4,True,0.5950000000000001,Partial,0.1,0.8,0.5,1.0,1.0,0.2,1.0,0.795,Ready,1.0,0.2,1.0,1.0,1.0,1.0,0.1,0.8150000000000001,Ready,1.0,1.0,0.7,1.0,0.2,1.0,0.1
eu-water-b7c70c51134e,Climate Water Projections - EE,,0,cross_cutting,EE,EE Data Provider,other,,2019-01-01,2024-12-31,5,2026-02-13,annual,country_level,False,,False,0,,False,1,False,0.37,Insufficient,1.0,0.3,0.3,0.0,0.0,0.0,0.0,0.27499999999999997,Insufficient,0.6,0.0,0.5,0.0,0.0,0.0,1.0,0.19,Insufficient,0.0,0.3,0.4,0.0,0.0,0.0,1.0
eu-water-be08059b37fd,Aquifer Characteristics - AT,Time series data for quantitative status parameters measured at multiple locations. Updated regularly as part of ongoing monitoring programs.,19,groundwater,AT,AT Regional Water Authority,regional,CSV,2019-01-01,2020-12-31,1,2022-11-05,weekly,,False,EU-ODP,True,0,,False,1,False,0.43000000000000005,Partial,0.1,0.8,0.0,0.9,1.0,0.2,0.0,0.31000000000000005,Insufficient,0.3,0.2,0.0,0.0,0.9,1.0,0.1,0.35000000000000003,Insufficient,0.0,0.3,0.4,0.9,0.2,1.0,0.1
eu-water-011d6a54185d,European Biological Quality Elements,,0,water_quality,EU,Joint Research Centre,eu_agency,NetCDF,2023-01-01,2025-12-31,2,2023-04-09,irregular,region_name,False,,False,2,water quality|chemical status,True,5,True,0.34249999999999997,Insufficient,0.1,0.2,0.5,0.85,0.0,0.0,1.0,0.465,Partial,0.3,0.0,1.0,1.0,0.85,0.0,0.1,0.7825000000000001,Ready,1.0,1.0,1.0,0.85,0.0,0.0,0.1
eu-water-7dff879296c2,European Flood Risk Assessment,,0,floods,EU,EU Ministry of Environment,ministry,CSV,2007-01-01,2022-12-31,15,2023-12-16,annual,,False,CC0,True,1,river flood,True,1,False,0.37,Insufficient,0.1,0.3,0.0,0.9,1.0,0.0,1.0,0.5950000000000001,Partial,1.0,0.0,0.0,1.0,0.9,1.0,0.1,0.7000000000000001,Ready,1.0,0.3,1.0,0.9,0.0,1.0,0.1
