dataset_uri,domain,drought_early_warning_score,drought_early_warning_readiness,drought_early_warning_temporal_recency,drought_early_warning_update_frequency,drought_early_warning_temporal_coverage,drought_early_warning_spatial_precision,drought_early_warning_format_readability,drought_early_warning_license_openness,drought_early_warning_description_quality,drought_early_warning_vocabulary_standard,drought_early_warning_multilingual,climate_infrastructure_score,climate_infrastructure_readiness,climate_infrastructure_temporal_recency,climate_infrastructure_update_frequency,climate_infrastructure_temporal_coverage,climate_infrastructure_spatial_precision,climate_infrastructure_format_readability,climate_infrastructure_license_openness,climate_infrastructure_description_quality,climate_infrastructure_vocabulary_standard,climate_infrastructure_multilingual,nbs_monitoring_score,nbs_monitoring_readiness,nbs_monitoring_temporal_recency,nbs_monitoring_update_frequency,nbs_monitoring_temporal_coverage,nbs_monitoring_spatial_precision,nbs_monitoring_format_readability,nbs_monitoring_license_openness,nbs_monitoring_description_quality,nbs_monitoring_vocabulary_standard,nbs_monitoring_multilingual,early_warning_score,early_warning_readiness,early_warning_temporal_recency,early_warning_update_frequency,early_warning_spatial_precision,early_warning_format_readability,early_warning_license_openness,early_warning_description_quality,early_warning_vocabulary_standard,compliance_reporting_score,compliance_reporting_readiness,compliance_reporting_temporal_coverage,compliance_reporting_description_quality,compliance_reporting_spatial_aggregation,compliance_reporting_vocabulary_standard,compliance_reporting_format_readability,compliance_reporting_license_openness,compliance_reporting_temporal_recency,cross_border_score,cross_border_readiness,cross_border_vocabulary_standard,cross_border_multilingual,cross_border_spatial_coverage,cross_border_format_readability,cross_border_description_quality,cross_border_license_openness,cross_border_temporal_recency
http://data.europa.eu/88u/dataset/https-dane-gov-pl-pl-dataset-3404-raport-dotyczacy-swiadczen-wysokospecjalistycznych,drought_early_warning,0.45,Partial,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,1.0,0.5,Partial,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,1.0,0.55,Partial,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,1.0,0.525,Partial,1.0,0.0,1.0,0.0,0.0,1.0,0.5,0.445,Partial,0.0,1.0,0.8,0.5,0.0,0.0,1.0,0.615,Partial,0.5,1.0,0.7,0.0,1.0,0.0,1.0
http://data.europa.eu/88u/dataset/7d75dace-0c8e-4741-8125-89c491b59d6c,drought_early_warning,0.04,Insufficient,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.3,0.105,Insufficient,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.3,0.17,Insufficient,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.3,0.06,Insufficient,0.1,0.0,0.0,0.0,0.0,0.2,0.5,0.12,Insufficient,0.0,0.2,0.0,0.5,0.0,0.0,0.1,0.29,Insufficient,0.5,0.3,0.4,0.0,0.2,0.0,0.1
http://data.europa.eu/88u/dataset/c6e99cb5-d263-404b-a77c-d71810b243f1,drought_early_warning,0.04,Insufficient,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.3,0.105,Insufficient,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.3,0.17,Insufficient,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.3,0.06,Insufficient,0.1,0.0,0.0,0.0,0.0,0.2,0.5,0.12,Insufficient,0.0,0.2,0.0,0.5,0.0,0.0,0.1,0.29,Insufficient,0.5,0.3,0.4,0.0,0.2,0.0,0.1
http://data.europa.eu/88u/dataset/cb53ad6e-39d5-44b1-a375-8e7657aa4717,drought_early_warning,0.06,Insufficient,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.3,0.135,Insufficient,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.3,0.15,Insufficient,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.3,0.06,Insufficient,0.1,0.0,0.0,0.0,0.0,0.4,0.3,0.13,Insufficient,0.0,0.4,0.0,0.3,0.0,0.0,0.1,0.26,Insufficient,0.3,0.3,0.4,0.0,0.4,0.0,0.1
http://data.europa.eu/88u/dataset/b08108f0-73c8-0001-a905-4f0ce171ba51,drought_early_warning,0.25,Insufficient,0.3,0.0,0.0,1.0,0.0,0.0,0.4,0.3,0.3,0.295,Insufficient,0.3,0.0,0.0,1.0,0.0,0.0,0.4,0.3,0.3,0.31,Insufficient,0.3,0.0,0.0,1.0,0.0,0.0,0.4,0.3,0.3,0.31,Insufficient,0.3,0.0,1.0,0.0,0.0,0.4,0.3,0.26,Insufficient,0.0,0.4,0.8,0.3,0.0,0.0,0.3,0.27,Insufficient,0.3,0.3,0.4,0.0,0.4,0.0,0.3
http://data.europa.eu/88u/dataset/b18e3a3c-1400-0001-b9e0-4c17105cadd3,drought_early_warning,0.24,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.7,0.3,0.3,0.36,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.7,0.3,0.3,0.33,Insufficient,0.1,0.0,0.0,1.0,0.0,0.0,0.7,0.3,0.3,0.275,Insufficient,0.1,0.0,1.0,0.0,0.0,0.7,0.3,0.31,Insufficient,0.0,0.7,0.8,0.3,0.0,0.0,0.1,0.29,Insufficient,0.3,0.3,0.4,0.0,0.7,0.0,0.1
http://data.europa.eu/88u/dataset/9d0f446c-d522-4e09-af61-ea16c89a8fbb,drought_early_warning,0.06,Insufficient,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.3,0.155,Insufficient,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.3,0.19,Insufficient,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.3,0.07,Insufficient,0.1,0.0,0.0,0.0,0.0,0.4,0.5,0.16,Insufficient,0.0,0.4,0.0,0.5,0.0,0.0,0.1,0.31,Insufficient,0.5,0.3,0.4,0.0,0.4,0.0,0.1
http://data.europa.eu/88u/dataset/ogd17-bundesamt-fur-energie-bfe,drought_early_warning,0.18,Insufficient,0.3,1.0,0.0,0.0,0.0,0.0,0.7,0.3,0.3,0.22,Insufficient,0.3,1.0,0.0,0.0,0.0,0.0,0.7,0.3,0.3,0.19,Insufficient,0.3,1.0,0.0,0.0,0.0,0.0,0.7,0.3,0.3,0.325,Insufficient,0.3,1.0,0.0,0.0,0.0,0.7,0.3,0.2,Insufficient,0.0,0.7,0.0,0.3,0.0,0.0,0.3,0.3,Insufficient,0.3,0.3,0.4,0.0,0.7,0.0,0.3
http://data.europa.eu/88u/dataset/ogd6-bundesamt-fur-energie-bfe,drought_early_warning,0.13,Insufficient,0.3,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.3,0.22,Insufficient,0.3,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.3,0.19,Insufficient,0.3,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.3,0.125,Insufficient,0.3,0.0,0.0,0.0,0.0,0.7,0.3,0.2,Insufficient,0.0,0.7,0.0,0.3,0.0,0.0,0.3,0.3,Insufficient,0.3,0.3,0.4,0.0,0.7,0.0,0.3
http://data.europa.eu/88u/dataset/ogd44-bundesamt-fur-energie-bfe,drought_early_warning,0.085,Insufficient,0.0,0.3,0.0,0.0,0.0,0.0,0.7,0.5,1.0,0.225,Insufficient,0.0,0.3,0.0,0.0,0.0,0.0,0.7,0.5,1.0,0.32,Insufficient,0.0,0.3,0.0,0.0,0.0,0.0,0.7,0.5,1.0,0.12,Insufficient,0.0,0.3,0.0,0.0,0.0,0.7,0.5,0.215,Insufficient,0.0,0.7,0.0,0.5,0.0,0.0,0.0,0.535,Partial,0.5,1.0,0.7,0.0,0.7,0.0,0.0
