country_code,n_datasets,early_warning_mean,early_warning_median,early_warning_std,early_warning_ready_pct,early_warning_partial_pct,early_warning_insufficient_pct,compliance_mean,compliance_median,compliance_std,compliance_ready_pct,compliance_partial_pct,compliance_insufficient_pct,cross_border_mean,cross_border_median,cross_border_std,cross_border_ready_pct,cross_border_partial_pct,cross_border_insufficient_pct,composite_mean,composite_median,composite_std,early_warning_temporal_recency_mean,early_warning_update_frequency_mean,early_warning_spatial_precision_mean,early_warning_format_readability_mean,early_warning_license_openness_mean,early_warning_description_quality_mean,early_warning_vocabulary_standard_mean,compliance_reporting_temporal_coverage_mean,compliance_reporting_description_quality_mean,compliance_reporting_spatial_aggregation_mean,compliance_reporting_vocabulary_standard_mean,compliance_reporting_format_readability_mean,compliance_reporting_license_openness_mean,compliance_reporting_temporal_recency_mean,cross_border_vocabulary_standard_mean,cross_border_multilingual_mean,cross_border_spatial_coverage_mean,cross_border_format_readability_mean,cross_border_description_quality_mean,cross_border_license_openness_mean,cross_border_temporal_recency_mean
FR,638,0.2238,0.24,0.0448,0.0,0.0,100.0,0.1688,0.17,0.0357,0.0,0.0,100.0,0.2285,0.22,0.0456,0.0,0.0,100.0,0.207,0.21,0.0346,0.0647,0.0,0.953,0.0,0.0,0.0,0.3411,0.0,0.0,0.7624,0.3411,0.0,0.0,0.0647,0.3411,0.3,0.4,0.0,0.0,0.0,0.0647
DE,275,0.2628,0.25,0.0699,0.0,8.36,91.64,0.1939,0.2,0.0271,0.0,0.0,100.0,0.2677,0.27,0.0339,0.0,1.45,98.55,0.2415,0.24,0.0354,0.1458,0.0578,0.9564,0.0,0.0,0.0,0.4698,0.0,0.0,0.7745,0.4698,0.0,0.0,0.1458,0.4698,0.3102,0.4044,0.0,0.0,0.0,0.1458
NL,159,0.083,0.025,0.096,0.0,0.0,100.0,0.0935,0.075,0.0506,0.0,0.0,100.0,0.2361,0.265,0.043,0.0,0.0,100.0,0.1375,0.1217,0.0471,0.0195,0.0,0.2956,0.0,0.0,0.0,0.3805,0.0,0.0,0.2365,0.3805,0.0,0.0,0.0195,0.3805,0.3,0.4,0.0,0.0,0.0,0.0195
IE,77,0.3279,0.3,0.1528,0.0,45.45,54.55,0.2044,0.21,0.0562,0.0,0.0,100.0,0.2871,0.28,0.033,0.0,0.0,100.0,0.2732,0.2633,0.0776,0.5078,0.0,0.8831,0.0,0.0,0.0,0.487,0.0,0.0,0.7065,0.487,0.0,0.0,0.5078,0.487,0.3,0.4,0.0,0.0,0.0,0.5078
IT,75,0.2281,0.225,0.02,0.0,0.0,100.0,0.1753,0.18,0.0285,0.0,0.0,100.0,0.2307,0.23,0.0476,0.0,0.0,100.0,0.2114,0.2283,0.0287,0.0413,0.0,1.0,0.0,0.0,0.0,0.3547,0.0,0.0,0.8,0.3547,0.0,0.0,0.0413,0.3547,0.3,0.4,0.0,0.0,0.0,0.0413
BE,69,0.2554,0.25,0.0486,0.0,5.8,94.2,0.197,0.195,0.0123,0.0,0.0,100.0,0.2641,0.265,0.0177,0.0,0.0,100.0,0.2389,0.2333,0.0226,0.1275,0.0,1.0,0.0,0.0,0.0,0.471,0.0,0.0,0.8,0.471,0.0,0.0,0.1275,0.471,0.3,0.4,0.0,0.0,0.0,0.1275
ES,53,0.2059,0.225,0.0692,0.0,0.0,100.0,0.1641,0.195,0.0454,0.0,0.0,100.0,0.2482,0.265,0.0581,0.0,1.89,98.11,0.2061,0.2283,0.0427,0.0604,0.0,0.8604,0.0,0.0,0.0,0.3755,0.0,0.0,0.6981,0.3755,0.0,0.0,0.0604,0.3755,0.3396,0.417,0.0,0.0,0.0,0.0604
AT,35,0.1317,0.1,0.1097,0.0,0.0,100.0,0.137,0.09,0.0655,0.0,0.0,100.0,0.2686,0.265,0.0153,0.0,0.0,100.0,0.1791,0.1567,0.0606,0.0429,0.0,0.4657,0.0,0.0286,0.0,0.5,0.0,0.0,0.38,0.5,0.0,0.0286,0.0429,0.5,0.3,0.4,0.0,0.0,0.0286,0.0429
DK,19,0.225,0.225,0.0,0.0,0.0,100.0,0.195,0.195,0.0,0.0,0.0,100.0,0.265,0.265,0.0,0.0,0.0,100.0,0.2283,0.2283,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.8,0.5,0.0,0.0,0.0,0.5,0.3,0.4,0.0,0.0,0.0,0.0
CZ,6,0.2183,0.215,0.0052,0.0,0.0,100.0,0.175,0.165,0.0155,0.0,0.0,100.0,0.2317,0.215,0.0258,0.0,0.0,100.0,0.2083,0.1983,0.0155,0.0,0.0,1.0,0.0,0.0,0.0,0.3667,0.0,0.0,0.8,0.3667,0.0,0.0,0.0,0.3667,0.3,0.4,0.0,0.0,0.0,0.0
