country_code,country_name,n_datasets,early_warning_score_mean,compliance_reporting_score_mean,cross_border_score_mean,composite_score_mean,gdp_per_capita_pps,desi_score,water_exploitation_index,open_data_maturity,egovernment_usage_pct,data_infrastructure_score
AT,Austria,35,0.13171428571428573,0.137,0.26857142857142857,0.1790952380952381,126,52.4,3.4,94,72,73.2
BE,Belgium,69,0.2554347826086957,0.19702898550724637,0.2641304347826087,0.23886473429951693,118,49.3,30.2,90,61,69.65
BG,Bulgaria,1,0.25,0.27,0.39,0.30333333333333334,57,37.4,3.1,62,37,49.7
CZ,Czechia,6,0.21833333333333335,0.17499999999999993,0.2316666666666667,0.20833333333333334,91,48.3,12.1,86,62,67.15
DE,Germany,275,0.26278181818181817,0.19394545454545456,0.2676545454545455,0.24146060606060607,118,52.9,20.2,91,63,71.95
DK,Denmark,19,0.225,0.195,0.265,0.22833333333333336,136,63.3,5.0,89,83,76.15
EE,Estonia,1,0.225,0.195,0.265,0.22833333333333336,89,53.9,12.8,92,77,72.95
ES,Spain,53,0.20594339622641508,0.1640566037735849,0.24820754716981133,0.2060691823899371,85,50.5,32.4,95,61,72.75
FI,Finland,3,0.26,0.18333333333333332,0.24,0.22777777777777777,111,69.3,2.2,88,82,78.65
FR,France,638,0.22383228840125394,0.16875391849529778,0.22850313479623824,0.20702978056426333,104,51.7,15.5,95,70,73.35
HR,Croatia,1,0.225,0.195,0.265,0.22833333333333336,70,45.3,1.0,80,51,62.65
IE,Ireland,77,0.32792207792207795,0.2044155844155844,0.28714285714285714,0.27316017316017316,224,56.4,2.1,94,73,75.19999999999999
IT,Italy,75,0.22806666666666667,0.17526666666666663,0.23073333333333332,0.21135555555555555,98,45.5,23.8,88,50,66.75
LV,Latvia,3,0.27999999999999997,0.1699999999999999,0.22,0.22333333333333327,72,46.5,3.8,80,72,63.25
MT,Malta,1,0.235,0.2499999999999999,0.415,0.3,100,53.4,42.5,72,50,62.7
NL,Netherlands,159,0.08301886792452831,0.09352201257861635,0.2361006289308176,0.13754716981132076,130,67.4,10.2,93,72,80.2
PL,Poland,5,0.24500000000000002,0.199,0.309,0.25100000000000006,77,40.5,19.7,87,55,63.75
PT,Portugal,1,0.25,0.27,0.39,0.30333333333333334,76,50.8,13.5,91,61,70.9
SE,Sweden,5,0.242,0.14599999999999996,0.182,0.18999999999999997,120,65.1,1.5,84,83,74.55
SI,Slovenia,3,0.225,0.17166666666666666,0.3583333333333332,0.25166666666666665,89,48.5,3.0,91,55,69.75
